b5143	Yes
b5144	No
b5145	No
b5146	Yes
b5147	No
b5148	Yes
b5149	No
b5150	No
b5151	No
b5152	Yes
b5153	Yes
b5154	No
b5155	Yes
b5156	No
b5157	No
b5158	No
b5159	Yes
b5160	Yes
b5161	No
b5162	No
b5163	No
b5164	No
b5165	No
b5166	Yes
b5167	Yes
b5168	No
b5169	Yes
b5170	No
b5171	No
b5172	Yes
b5173	No
b5174	No
b5175	No
b5176	No
b5177	No
b5178	No
b5179	Yes
b5180	No
b5181	No
b5182	No
b5183	No
b5184	No
b5185	No
b5186	No
b5187	Yes
b5188	Yes
b5189	No
b5190	No
b5191	No
b5192	No
b5193	No
b5194	Yes
b5195	No
b5196	No
b5197	Yes
b5198	Yes
b5199	Yes
b5200	No
b5201	No
b5202	No
b5203	No
b5204	Yes
b5205	No
b5206	No
b5207	Yes
b5208	No
b5209	No
b5210	No
b5211	Yes
b5212	No
b5213	No
b5214	No
b5215	No
b5216	No
b5217	Yes
b5218	Yes
b5219	Yes
