,α15.2,α15.2,α15.2,α15.2,α20.4,α20.4,α20.4,α20.4,α48.4,α48.4,α48.4,α48.4,α51.5,α51.5,α51.5,α51.5,SNIPR001,SNIPR001,SNIPR001,SNIPR001,Control,Control,Control,Control
"B. thetaiotaomicron",0.65738500,0.60302700,1.58804600,1.58804600,0.74915500,0.74915500,1.41195400,1.28701600,0.70569000,0.60302700,1.11092400,1.11092400,0.63105600,0.70569000,1.50886400,0.80989400,0.65738500,0.65738500,1.11092400,1.50886400,0.46832900,0.46832900,1.28701600,1.28701600
"B. vulgatus",0.75332800,0.60206000,1.00000000,0.82390900,0.86530100,0.82390900,0.82390900,0.82390900,0.77815100,0.47712100,1.22184900,0.82390900,0.60206000,0.88460700,1.12493900,0.82390900,0.84509800,0.90309000,0.82390900,0.82390900,0.66900700,0.82390900,0.52287900,0.82390900
"E. limosum",0.58357700,0.68424700,0.76143900,0.76143900,0.71321000,0.71321000,1.15937900,1.15937900,0.54406800,0.58357700,0.76143900,0.93753100,0.56427100,0.58357700,1.23856100,0.76143900,0.75332800,0.60206000,1.15937900,0.46040900,0.47712100,0.52287900,0.76143900,0.76143900
b2480,-3.50000000,-3.80103000,-3.60206000,-3.60206000,-3.80103000,-3.80103000,-3.60206000,-3.60206000,-3.80103000,-3.80103000,-3.00000000,-3.60206000,-3.50000000,-3.80103000,-3.60206000,-3.60206000,-3.80103000,-3.80103000,-3.60206000,-3.60206000,1.94715800,1.93136400,2.17609100,2.54406800
