"Bacterial.strain"	"Susceptibility"
"b3960"	"no"
"b3961"	"yes"
"b3962"	"yes"
"b3963"	"yes"
"b3964"	"yes"
"b3965"	"yes"
"b3966"	"yes"
"b3967"	"yes"
"b3968"	"yes"
"b3969"	"yes"
"b3970"	"yes"
"b3971"	"yes"
"b3972"	"yes"
"b3973"	"yes"
"b3974"	"yes"
"b3975"	"yes"
"b3976"	"yes"
"b3977"	"yes"
"b3978"	"yes"
"b3979"	"yes"
"b3980"	"yes"
"b3981"	"yes"
"b3982"	"yes"
"b3983"	"yes"
"b3984"	"yes"
"b3985"	"yes"
"b3986"	"yes"
"b3987"	"yes"
"b3988"	"yes"
"b3989"	"yes"
"b3990"	"yes"
"b3991"	"yes"
"b3992"	"yes"
"b3993"	"yes"
"b3994"	"yes"
"b3995"	"yes"
"b3996"	"yes"
"b3997"	"yes"
"b3998"	"yes"
"b3999"	"yes"
"b4000"	"yes"
"b4001"	"yes"
"b4002"	"yes"
"b4003"	"yes"
"b4004"	"yes"
"b4005"	"yes"
"b4006"	"yes"
"b4007"	"yes"
"b4008"	"no"
"b4009"	"yes"
"b4010"	"yes"
"b4011"	"yes"
"b4012"	"yes"
"b4013"	"yes"
"b4014"	"yes"
"b4015"	"yes"
"b4016"	"yes"
"b4017"	"yes"
"b4018"	"yes"
"b4019"	"yes"
"b4020"	"yes"
"b4021"	"yes"
"b4022"	"yes"
"b4023"	"yes"
"b4024"	"no"
"b4025"	"yes"
"b4026"	"yes"
"b4027"	"yes"
"b4028"	"yes"
"b4029"	"yes"
"b4030"	"yes"
"b4031"	"yes"
"b4032"	"yes"
"b4033"	"yes"
"b4034"	"yes"
"b4035"	"yes"
"b4036"	"yes"
"b4037"	"yes"
"b4038"	"yes"
"b4039"	"yes"
"b4040"	"no"
"b4041"	"yes"
"b4042"	"yes"
"b4043"	"yes"
"b4044"	"yes"
"b4045"	"yes"
"b4046"	"yes"
"b4047"	"no"
"b4048"	"yes"
"b4049"	"yes"
"b4050"	"yes"
