adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
bSNP1387	13	9	17	25	11	24	13	104
bSNP1388	36	9	17	25	11	24	13	73
bSNP1389	13	9	16	9	10	13	13	12
bSNP1390	21	27	5	4	5	35	6	69
bSNP1391	13	9	16	9	10	13	371	3352
bSNP1392	76	19	17	25	44	43	13	978
bSNP1393	83	110	80	2	1	136	117	543
bSNP1394	13	10	17	17	25	52	14	141
bSNP1395	12	54	1	47	2	58	344	3018
bSNP1396	10	4	8	2	8	11	8	10
bSNP1397	21	27	5	4	5	35	6	69
bSNP1398	36	9	17	25	11	24	13	73
bSNP1399	18	17	5	4	5	106	6	393
bSNP1400	21	27	5	4	5	35	6	69
bSNP1401	14	10	17	74	7	14	14	404
bSNP1402	13	19	23	10	11	14	36	127
bSNP1403	13	156	17	17	25	52	14	998
bSNP1404	21	27	5	4	5	35	6	69
bSNP1405	36	9	17	25	11	24	13	73
bSNP1406	6	57	8	2	393	7	1	5404
bSNP1407	21	61	5	4	5	35	52	394
bSNP1408	13	10	17	17	25	52	14	141
bSNP1409	53	47	36	29	28	40	13	131
bSNP1410	13	13	23	66	25	40	13	357
bSNP1411	36	9	17	25	11	24	13	73
bSNP1412	14	10	17	10	7	14	200	1193
bSNP1413	36	9	17	25	11	24	13	73
bSNP1414	6	12	20	7	18	4	1	410
bSNP1415	36	9	17	25	11	24	13	73
bSNP1416	21	27	5	4	5	35	6	69
bSNP1417	36	9	17	25	11	24	13	73
bSNP1418	37	19	17	26	8	38	37	421
bSNP1419	21	27	5	4	5	35	6	69
bSNP1420	37	19	17	26	11	38	37	95
bSNP1421	4	2	5	19	5	26	25	38
bSNP1423	4	2	5	19	5	26	25	38
bSNP1424	64	1	8	6	8	7	561	5523
bSNP1425	10	1	71	6	8	11	1	409
bSNP1426	1334	2	5	19	5	26	25	12278
bSNP1427	6	15	9	7	8	19	16	443
bSNP1428	53	47	36	29	28	40	13	131
bSNP1429	6	1180	8	2	8	196	91	12277
bSNP1430	6	12	20	7	18	4	1	410
bSNP1431	4	2	5	19	5	26	25	38
bSNP1432	10	4	8	73	13	4	8	1284
bSNP1433	6	12	20	7	18	4	1	410
bSNP1434	6	12	20	7	18	4	1	410
bSNP1435	9	5	9	6	13	65	1	162
bSNP1436	6	12	20	7	18	4	1	410
bSNP1437	6	14	24	14	8	4	16	155
bSNP1438	6	12	20	7	18	4	1	410
bSNP1439	43	15	11	6	7	41	18	101
bSNP1440	4	2	59	62	5	26	25	391
bSNP1441	13	9	16	9	10	13	13	12
bSNP1442	6	12	20	7	18	4	1	410
bSNP1443	6	12	20	7	8	4	1	90
bSNP1444	4	2	5	19	5	26	25	38
bSNP1445	6	12	20	7	18	4	1	410
bSNP1446	10	4	8	2	13	11	8	167
bSNP1447	6	12	20	7	18	4	1	410
bSNP1448	4	2	5	19	5	26	25	38
bSNP1449	6	33	11	2	8	6	26	1196
bSNP1450	10	5	8	2	7	27	8	226
bSNP1451	10	4	8	2	8	11	8	10
bSNP1452	6	12	20	7	18	4	1	410
bSNP1453	10	135	8	2	8	11	8	744
bSNP1454	9	5	9	6	13	65	1	162
bSNP1455	85	78	59	62	58	88	29	354
bSNP1456	6	12	20	7	18	4	1	410
bSNP1457	85	78	59	62	58	88	29	354
bSNP1458	4	2	5	19	5	26	25	38
bSNP1459	6	12	20	7	18	4	1	410
bSNP1460	4	2	5	19	5	26	25	38
bSNP1461	6	22	11	7	1	6	16	940
bSNP1462	8	1	8	6	8	7	8	46
bSNP1463	6	12	20	7	18	4	1	410
bSNP1464	6	22	11	7	1	6	16	940
bSNP1465	85	78	59	62	58	88	29	354
bSNP1466	6	12	20	7	18	4	1	410
bSNP1467	10	4	8	2	8	11	8	10
bSNP1468	35	29	4	73	5	37	25	405
bSNP1469	101	1181	70	2	158	4	29	12280
bSNP1470	21	27	5	4	5	35	6	69
bSNP1471	4	2	5	19	5	26	25	38
bSNP1472	13	9	16	449	10	13	13	6355
bSNP1473	6	5	11	7	8	6	16	448
bSNP1474	10	4	8	2	8	7	8	656
bSNP1475	4	2	5	19	5	26	25	38
bSNP1476	10	5	8	2	7	99	91	361
bSNP1477	9	5	9	6	13	65	1	162
bSNP1478	6	57	8	2	8	7	1	540
bSNP1479	80	33	7	6	8	4	16	939
bSNP1480	14	10	17	10	7	14	200	1193
bSNP1481	10	4	8	2	8	11	8	10
bSNP1482	13	10	17	17	25	52	14	141
bSNP1483	6	12	20	7	18	4	1	410
bSNP1484	13	19	23	10	1	24	14	80
bSNP1485	10	4	8	2	13	11	8	167
bSNP1486	10	4	8	2	8	11	8	10
bSNP1487	6	15	9	7	8	23	16	205
bSNP1488	4	2	5	19	5	26	25	38
bSNP1489	62	17	5	4	5	100	31	362
bSNP1490	13	19	23	10	11	14	36	127
bSNP1491	10	4	8	2	13	11	8	167
bSNP1492	6	12	20	7	18	4	1	410
bSNP1494	4	2	5	19	5	26	25	38
bSNP1495	9	1	24	7	8	7	8	6215
bSNP1496	10	4	8	2	9	11	1	227
bSNP1497	6	3	11	6	8	19	16	1727
bSNP1498	6	12	20	7	8	4	1	90
bSNP1499	6	33	167	2	8	29	16	2380
bSNP1500	4	2	5	19	5	26	25	38
bSNP1501	10	5	8	2	7	99	91	361
bSNP1502	6	22	11	7	1	6	16	940
bSNP1503	88	19	23	26	44	103	36	372
bSNP1504	35	29	4	73	5	37	25	405
bSNP1505	10	4	8	2	13	11	8	167
bSNP1506	6	57	8	2	8	7	1	540
bSNP1507	10	135	8	2	8	11	8	744
bSNP1508	10	4	8	2	13	11	8	167
bSNP1509	4	2	5	19	5	26	25	38
bSNP1510	92	87	70	2	58	4	96	648
bSNP1511	6	12	20	7	18	4	1	410
bSNP1512	10	5	8	2	7	99	91	361
bSNP1513	13	13	23	66	25	40	13	357
bSNP1514	6	12	20	7	18	4	1	410
bSNP1515	21	27	5	4	5	35	6	69
bSNP1516	35	29	4	73	5	37	25	405
bSNP1517	6	12	20	7	8	4	1	90
bSNP1518	92	87	70	2	58	4	96	648
bSNP1519	21	27	5	4	5	35	6	69
bSNP1520	35	29	4	73	5	37	25	405
bSNP1521	88	19	23	26	44	103	36	372
bSNP1522	8	1	8	6	13	7	8	2450
bSNP1523	10	4	8	2	13	11	8	167
bSNP1524	6	32	11	14	8	29	16	348
bSNP1525	6	32	11	44	8	29	16	156
bSNP1526	4	2	5	19	5	26	25	38
bSNP1527	6	4	43	6	8	4	16	603
bSNP1528	37	86	17	26	11	38	37	390
bSNP1529	10	135	8	2	8	11	8	744
bSNP1530	36	9	17	25	11	24	13	73
bSNP1531	6	22	11	7	1	6	16	940
bSNP1532	113	5	8	6	8	4	83	607
bSNP1533	10	4	8	73	13	11	8	617
bSNP1534	88	19	23	26	44	103	36	372
bSNP1535	10	4	8	2	13	11	8	167
bSNP1536	4	2	5	19	5	26	25	38
bSNP1537	6	22	11	7	1	6	16	940
bSNP1538	46	37	5	33	16	36	25	108
bSNP1539	4	2	5	19	5	26	25	38
bSNP1540	53	47	36	29	28	40	13	131
bSNP1541	6	22	11	7	1	6	16	940
bSNP1542	13	19	30	82	14	39	36	491
bSNP1543	6	1	69	7	8	107	95	635
bSNP1544	4	2	5	19	5	26	25	38
bSNP1545	10	4	8	2	13	11	8	167
bSNP1546	21	27	5	4	5	35	6	69
bSNP1547	13	10	17	17	25	52	14	141
bSNP1548	6	12	20	7	12	4	1	88
bSNP1549	4	2	5	19	5	26	25	38
bSNP1550	6	12	20	7	18	4	1	410
bSNP1551	13	19	36	30	28	167	13	8186
bSNP1552	6	1	69	7	8	107	95	635
bSNP1553	10	5	8	2	18	11	8	9749
bSNP1554	4	2	5	19	5	26	25	38
bSNP1556	53	47	36	29	28	40	13	131
bSNP1557	6	12	20	7	18	4	1	410
bSNP1638	14	10	17	74	7	14	14	404
bSNP1639	4	2	5	19	5	26	25	38
bSNP1640	36	9	17	25	11	24	13	73
bSNP1641	6	5	24	6	18	23	16	1249
bSNP1642	13	84	17	34	68	38	13	420
bSNP1643	6	5	24	6	18	23	16	1249
bSNP1644	18	17	5	4	5	106	6	393
bSNP1645	10	4	8	73	13	11	8	617
bSNP1646	36	9	17	25	11	24	13	73
bSNP1647	13	19	36	30	28	40	13	538
bSNP1648	21	27	5	4	5	35	6	69
bSNP1649	21	27	5	4	5	35	6	69
bSNP1651	36	9	17	25	11	24	13	73
bSNP1652	18	17	5	4	5	106	6	393
bSNP1653	18	17	5	4	5	106	6	393
bSNP1654	18	17	5	4	5	106	6	393
bSNP1656	13	19	23	10	1	24	14	80
bSNP1658	36	9	17	25	11	24	13	73
bSNP1659	14	10	17	74	7	14	14	404
bSNP1661	18	17	5	4	5	106	6	393
