adk	gyrB	mdh	recA	purA	fumC	icd	MLST_type
bSNP2111	53	47	36	29	28	40	13	131
bSNP2112	18	17	5	4	5	106	6	393
bSNP2113	36	9	17	25	11	24	13	73
bSNP2114	28	25	7	24	11	33	29	62
bSNP2115	53	47	36	29	8	40	13	2279
bSNP2116	53	47	36	29	28	40	13	131
bSNP2117	13	19	23	10	11	14	36	127
bSNP2118	53	47	36	29	28	40	13	131
bSNP2119	53	47	36	29	28	40	13	131
bSNP2120	53	47	36	29	28	40	13	131
bSNP2121	53	47	36	29	28	40	13	131
bSNP2122	53	47	36	29	28	40	13	131
bSNP2123	6	12	20	7	12	4	1	88
bSNP2124	53	47	36	29	28	40	13	131
bSNP2125	14	10	17	10	7	14	200	1193
bSNP2126	53	47	36	29	28	40	13	131
bSNP2127	6	12	20	7	18	4	1	410
bSNP2128	21	27	5	4	5	35	6	69
bSNP2129	53	47	36	29	28	40	13	131
bSNP2130	4	2	5	19	5	26	25	38
bSNP2131	35	29	4	73	5	37	25	405
bSNP2132	9	5	9	6	13	65	1	162
bSNP2133	53	47	36	29	28	40	13	131
bSNP2134	53	47	36	29	28	40	13	131
bSNP260	10	4	8	2	8	11	8	10
bSNP261	25	4	8	2	8	11	8	49
bSNP262	10	4	8	2	8	11	8	10
bSNP263	30	5	7	2	21	11	8	63
bSNP264	10	4	8	2	8	11	8	10
bSNP265	6	5	8	27	18		1	Unknown
bSNP266	6	14	20	7	62	4	1	345
bSNP267	10	4	8	2	8	11	8	10
bSNP268	10	4	8	2	8	11	8	10
bSNP269	24	4	8	2	8	11	8	43
bSNP270	10	4	8	2	8	11	8	10
bSNP271	10	4	8	2	8	11	8	10
bSNP272	10	4	8	7	8	11	8	44
bSNP273	10	4	8	2	8	11	8	10
bSNP274	6	23	8	2	8	7	1	45
bSNP275	8	1	8	6	8	7	8	46
bSNP276	8	5	7	6	18	11	1	47
bSNP277	6	4	8	2	8	11	8	48
bSNP278	6	4	8	2	8	11	8	48
bSNP279	6	4	8	2	8	11	8	48
bSNP280	6	4	8	2	8	11	8	48
bSNP281	26	4	8	6	8	7	1	50
bSNP282	36	9	17	25	11	24	13	73
bSNP283	6	5	20	2	8	11	1	52
bSNP284	10	4	8	2	8	11	8	10
bSNP285	9	12	11	6	13	29	1	53
bSNP286	9	12	11	6	13	29	1	53
bSNP287	6	5	24	21	8	30	1	54
bSNP288	6	4	20	14	8	4	18	55
bSNP289	6	4	24	14	5	4	18	56
bSNP290	6	5	1	2	1	31	28	57
bSNP291	6	4	24	14	5	4	18	56
bSNP292	6	4	24	14	5	4	18	56
bSNP293	6	4	24	14	8	4	16	58
bSNP294	27	24	26	22	19	32	29	59
bSNP295	27	24	26	22	19	32	29	59
bSNP296	29	8	15	23	2	12	12	61
bSNP297	28	25	7	24	11	33	29	62
bSNP298	28	25	7	24	11	33	29	62
bSNP299	28	25	7	24	11	33	29	62
bSNP300	28	25	7	24	11	33	29	62
bSNP301	31	26	27	17	22	34	30	64
bSNP302	6	83	1	2	1	31	28	350
bSNP303	18	20	5	4	5	22	6	130
bSNP304	6	5	9	7	8	19	1	67
bSNP305	33	2	5	19	16	26	31	68
bSNP306	21	27	5	4	5	35	6	69
bSNP307	34	28	28	4	16	36	25	70
bSNP308	35	29	4	73	5	37	25	405
bSNP309	35	29	4	18	5	37	25	72
bSNP310	36	9	17	25	11	24	13	73
bSNP311	36	9	17	25	11	24	13	73
bSNP312	13	9	16	9	10	13	13	12
bSNP313	36	9	17	25	11	24	13	73
bSNP314	36	9	17	25	5	24	13	74
bSNP315	36	9	17	25	11	24	13	73
bSNP316	36	9	17	25	11	24	13	73
bSNP317	6	5	20	6	23	6	10	75
bSNP318	13	9	16	9	10	13	13	12
bSNP319	13	9	16	9	10	13	13	12
bSNP320	37	19	17	26	7	38	32	79
bSNP321	37	19	17	26	7	38	32	79
bSNP322	13	19	23	10	1	24	14	80
bSNP323	14	10	17	10	7	14	14	14
bSNP324	38	30	17	28	25	39	13	681
bSNP325	13	19	30	29	25	38	13	83
bSNP326	6	31	24	2	8	29	16	84
bSNP327	6	32	11	7	26	6	26	85
bSNP328	9	33	24	7	8	6	33	86
bSNP329	6	12	20	7	12	4	1	88
bSNP330	6	12	20	7	7	4	1	360
bSNP331	6	12	20	7	13	4	1	23
bSNP485	10	4	8	2	8	11	8	10
bSNP486	103	5	8	6	8	126	1	472
bSNP487	10	4	8	2	8	11	8	10
bSNP488	10	4	8	2	8	11	8	10
bSNP489	10	4	8	2	8	11	8	10
bSNP490	10	4	8	2	8	11	8	10
bSNP661	53	47	36	29	28	40	13	131
bSNP662	53	47	36	29	28	40	13	131
bSNP663	53	47	36	29	28	40	13	131
bSNP664	53	47	36	29	28	40	13	131
bSNP665	53	47	36	29	28	40	13	131
bSNP666	53	47	36	29	28	40	13	131
bSNP667	53	47	36	29	28	40	13	131
bSNP668	53	47	36	29	28	40	13	131
bSNP669	53	47	36	29	28	40	13	131
bSNP670	4	2	5	19	5	26*	25	38*
bSNP671	4	2	5	19	5	26	25	38
bSNP672	4	2	5	19	5	26	25	38
bSNP673	4	2	5	19	5	26	25	38
bSNP674	4	2	5	19	5	26	25	38
bSNP675	4	2	5	19	5	26	25	38
bSNP676	4	2	5	19	5	26	25	38
bSNP678	4	2	5	19	5	26	25	38
bSNP679	4	2	5	19	5	26	25	38
bSNP680	35	29	4	73	5	37	25	405
bSNP681	35	29	4	73	5	37	25	405
bSNP682	35	29	4	73	5	37	25	405
bSNP683	35	29	4	73	5	37	25	405
bSNP684	35	29	4	73	5	37	25	405
bSNP686	35	29	4	73	5	37	25	405
bSNP687	35	29	4	73	5	37	25	405
bSNP688	35	29	4	73	5	37	25	405
bSNP689	35	29	4	73	5	37	25	405
bSNP690	35	29	4	73	5	37	25	405
bSNP692	10	135	8	2	8	11	8	744
bSNP693	6	12	20	7	18	4	1	410
bSNP694	6	12	20	7	18	4	1	410
bSNP695	6	12	20	7	18	4	1	410
bSNP696	6	12	20	7	18	4	1	410
bSNP697	6	12	20	7	18	4	1	410
bSNP698	6	12	20	7	18	4	1	410
bSNP699	6	12	20	7	18	4	1	410
bSNP700	6	12	20	7	18	4	1	410
bSNP701	6	12	20	7	18	4	1	410
bSNP702	6	12	20	7	18	4	1	410
bSNP703	4	2	5	19	5	26	25	38
bSNP704	4	2	5	19	5	26	25	38
bSNP705	4	2	5	19	5	26	25	38
bSNP706	4	2	5	19	5	26	25	38
bSNP707	4	2	5	19	5	26	25	38
bSNP708	4	2	5	19	5	26	25	38
bSNP709	4	2	5	19	5	26	25	38
bSNP710	4	2	5	19	5	26	25	38
bSNP711	4	2	5	19	5	26	25	38
bSNP712	4	2	5	19	5	26	25	38
bSNP713	10	4	8	2	13	11	8	167
bSNP714	10	4	8	2	13	11	8	167
bSNP715	10	4	8	2	13	11	8	167
bSNP716	10	4	8	2	13	11	8	167
bSNP717	10	4	8	2	13	11	8	167
bSNP718	6	5	11	7	8	6	16	448
bSNP719	6	5	11	7	8	6	16	448
bSNP720	6	5	11	7	8	6	16	448
bSNP721	6	5	11	7	8	6	16	448
bSNP722	6	5	11	7	8	6	16	448
bSNP723	10	4	8	2	8	11	8	10
bSNP724	35	29	4	73	5	37	25	405
bSNP725	53	47	36	29	28	40	13	131
bSNP737	53	47	36	29	28	40	13	131
bSNP738	8	1	8	6	8	7	8	46
bSNP739	53	47	36	29	28	40	13	131
bSNP740	53	47	36	29	28	40	13	131
bSNP741	53	47	36	29	28	40	13	131
bSNP742	35	29	4	73	5	37	25	405
bSNP743	53	47	36	29	28	40	13	131
bSNP744	53	47	36	29	28	40	13	131
bSNP745	43	15	11	6	7	41	18	101
bSNP746	53	47	36	29	28	40	13	131
bSNP747	6	12	20	7	12	4	1	88
bSNP748	53	47	36	29	28	40	13	131
bSNP749	53	47	36	29	28	40	13	131
bSNP750	53	47	36	29	28	40	13	131
bSNP751	37	19	17	26	11	38	37	95
bSNP752	10	4	8	2	13	11	8	167
bSNP753	14	10	17	10	7	14	200	1193
bSNP754	10	4	8	2	8	11	8	10
bSNP755	37	19	17	26	11	38	37	95
bSNP756	43	15	11	6	7	41	18	101
bSNP757	37	19	17	26	11	38	37	95
bSNP758	35	29	4	73	5	37	25	405
bSNP759	10	4	8	2	8	11	8	10
bSNP760	53	47	36	29	28	40	13	131
bSNP761	53	47	36	29	28	40	13	131
bSNP762	37	19	17	26	11	38	37	95
bSNP763	6	12	20	7	12	4	1	88
bSNP764	53	47	36	29	28	40	13	131
bSNP765	53	47	36	29	28	40	13	131
bSNP766	37	19	17	26	11	38	37	95
bSNP767	53	47	36	29	28	40	13	131
bSNP768	53	47	36	29	28	40	13	131
bSNP769	43	15	11	6	7	41	18	101
bSNP770	37	19	17	26	11	38	37	95
bSNP771	21	27	5	4	5	35	6	69
bSNP772	53	47	36	29	28	40	13	131
bSNP773	20	41	5	2	32	45	43	117
bSNP774	35	29	4	73	5	37	25	405
bSNP775	53	47	36	29	28	40	13	131
bSNP776	53	47	36	29	28	40	13	131
bSNP777	13	10	17	17	25	52	14	141
bSNP778	53	47	36	29	28	40	13	131
bSNP780	10	4	8	2	8	11	8	10
bSNP781	18	17	5	4	5	106	6	393
bSNP782	53	47	36	29	28	40	13	131
bSNP783	35	29	4	73	5	37	25	405
bSNP784	35	29	4	73	5	37	25	405
bSNP785	13	10	17	17	25	52	14	141
bSNP786	53	47	36	29	28	40	13	131
bSNP787	37	19	17	26	11	38	37	95
bSNP788	92	87	70	2	58	4	96	648
bSNP789	53	47	36	29	28	40	13	131
bSNP790	53	47	36	29	28	40	13	131
bSNP791	21	27	5	4	5	35	6	69
bSNP792	53	47	36	29	28	40	13	131
bSNP793	9	5	9	6	13	65	1	162
bSNP794	37	19	17	26	11	38	37	95
bSNP795	13	84	17	34	64	38	13	569
bSNP797	37	19	17	26	11	38	37	95
bSNP798	13	19	23	10	11	14	36	127
bSNP799	53	47	444	29	28	40	13	5603
bSNP801	13	19	23	10	11	14	36	127
bSNP802	470	19	23	10	11	14	36	5457
bSNP803	37	19	17	26	11	38	37	95
bSNP804	13	19	23	10	11	14	36	127
bSNP805	53	47	36	29	28	40	13	131
bSNP806	37	19	17	26	11	38	37	95
bSNP807	53	47	36	29	28	40	13	131
bSNP808	76	50	17	25	1	43	37	3693
bSNP809	37	19	17	26	11	38	37	95
bSNP810	37	19	17	367	11	38	37	5422
bSNP811	53	47	36	29	28	40	13	131
bSNP812	37	19	17	26	11	38	37	95
bSNP813	37	19	17	26	11	726	37	5646
bSNP814	37	19	17	26	11	38	37	95
bSNP815	13	19	23	10	11	14	36	127
bSNP816	53	47	36	29	28	40	13	131
bSNP817	53	47	36	29	28	40	13	131
bSNP818	64	5	8	6	8	4	83	1072
bSNP819	37	19	17	26	11	38	37	95
bSNP820	13	19	23	10	11	14	36	127
bSNP821	37	19	17	26	11	38	37	95
bSNP822	53	47	36	29	28	40	13	131
bSNP823	37	19	17	26	11	38	37	95
bSNP824	37	19	17	26	11	38	37	95
bSNP825	37	19	17	26	11	38	37	95
bSNP826	13	19	23	10	11	14	36	127
bSNP827	6	12	20	7	12	4	1	88
bSNP828	53	47	36	29	28	40	13	131
bSNP830	13	19	23	10	11	14	36	127
bSNP831	10	4	8	73	13	11	8	617
bSNP832	13	19	23	10	11	14	36	127
bSNP833	37	19	17	26	11	38	37	95
bSNP834	37	19	17	26	11	38	37	95
bSNP835	494	47	36	29	28	40	13	5642
bSNP836	88	19	23	26	44	103	36	372
bSNP837	53	47	36	29	28	40	13	131
bSNP838	37	19	17	26	11	38	37	95
bSNP839	18	17	5	4	5	106	6	393
bSNP840	13	19	23	10	11	14	36	127
bSNP841	53	47	36	29	28	40	13	131
bSNP842	13	19	23	10	11	14	36	127
bSNP843	13	19	23	10	11	14	36	127
bSNP844	53	47	36	29	28	40	13	131
bSNP845	37	19	17	26	11	38	37	95
bSNP846	53	47	36	29	28	40	13	131
bSNP847	53	47	36	29	28	40	13	131
bSNP848	53	47	36	29	28	40	13	131
bSNP850	10	4	8	2	8	11	8	10
bSNP851	13	19	23	10	11	14	36	127
bSNP852	53	47	36	29	28	40	13	131
bSNP853	53	47	36	29	28	40	13	131
bSNP854	37	19	17	26	11	38	37	95
bSNP855	37	19	17	26	11	38	37	95
bSNP856	37	19	17	26	11	38	37	95
bSNP858	53	47	36	29	28	40	13	131
bSNP859	37	19	17	26	11	38	37	95
bSNP860	13	19	23	10	11	14	36	127
bSNP862	37	19	17	26	11	38	37	95
bSNP863	10	4	8	2	13	11	8	167
bSNP865	13	19	23	10	11	14	36	127
bSNP866	37	19	17	26	11	38	37	95
bSNP867	35	29	4	73	5	37	25	405
bSNP868	53	47	36	29	28	40	13	131
bSNP869	53	47	36	29	28	40	13	131
bSNP870	53	47	36	29	28	40	13	131
bSNP871	13	19	23	10	11	14	36	127
bSNP872	37	19	412	26	11	38	37	5357
bSNP873	37	19	17	26	11	38	37	95
bSNP874	13	19	23	10	11	14	36	127
bSNP876	37	19	17	26	11	38	37	95
bSNP877	53	47	36	29	28	40	13	131
bSNP878	53	47	36	29		40	13	Unknown
bSNP879	21	27	5	4	5	35	6	69
bSNP894	53	47	36	29	28	40	13	131
bSNP900	53	47	36	29	28	40	13	131
bSNP905	53	47	36	29	28	40	13	131
bSNP906	53	47	36	29	28	40	13	131
bSNP907	53	47	36	29	28	40	13	131
bSNP908	53	47	36	29	28	40	13	131
bSNP911	53	47	36	29	28	40	13	131
bSNP913	53	47	36	29	28	40	13	131
bSNP915	53	47	36	29	28	40	13	131
bSNP916	53	47	36	29	28	40	13	131
bSNP917	53	47	36	29	28	40	13	131
bSNP918	53	47	36	29	28	40	13	131
bSNP920	53	47	36	29	28	40	13	131
bSNP922	53	47	36	29	28	40	13	131
bSNP924	53	47	36	29	28	40	13	131
bSNP927	53	47	36	29	28	40	13	131
bSNP928	53	47	36	29	28	40	13	131
bSNP929	53	47	36	29	28	40	13	131
bSNP936	53	47	36	29	28	40	13	131
bSNP1671	53	47	36	29	28	40	13	131
bSNP1687	37	19	17	26	11	38	37	95
bSNP1698	36	9	17	25	11	24	13	73
bSNP1703	53	47	36	29	28	40	13	131
bSNP1704	36	9	17	25	11	24	13	73
bSNP1705	53	47	36	29	28	40	13	131
bSNP1709	4	2	5	19	5*	26	25	38*
bSNP1723	21	27	5	4	5	35	6	69
bSNP1745	36	9	17	25	11	238	13	1278
bSNP1748	53	47	36	29	28	40	13	131
bSNP1753	88	19	23	26	44	103	36	372
bSNP1768	53	47	36	29	28	40	13	131
bSNP1798	28!		7			33!	29	Unknown
bSNP1806	53	47	36	29	28	40	13	131
bSNP1808	62	17	5	4	5	100	31	362
bSNP1816	13	19	23	10	11	14	36	127
bSNP1823	36	9	17	25	11	24	13	73
bSNP1824	13	19	486	29	10	38	13	6110
bSNP1827	36	9	17	25	11	24	13	73
bSNP796	53	47	36	29	28	40	13	131
bSNP800	13	19	23	10	11	14	36	127
bSNP864	53	47	36	29	28	40	13	131
bSNP1712		4?	24	14	8	1579?	16	Unknown
bSNP1739	6	14	24	381?	497?	1138?	16	Unknown
bSNP1818							14	Unknown
bSNP1832			42?	44?		798?*	803?	Unknown
bSNP1836					599?			Unknown
bSNP1851	204	4			497?			Unknown
bSNP1861								Unknown
bSNP1862								Unknown
bSNP1868			7	25?			10	Unknown
bSNP1874		9*		601?				Unknown
bSNP875			305?	2				Unknown
